Name,Total_annual_generation,Solar,Coal,Gas,Hydro,Oil,Wind,Waste,Biomass,Cogeneration,Geothermal,Nuclear,Other,Petcoke
Albania,4723.999999510001,0,0,0,7,0,0,0,0,0,0,0,1,0
Algeria,52748.200869299995,0,0,26,1,0,0,0,0,0,0,0,0,0
Angola,9479.99999895,0,0,3,5,6,0,0,0,0,0,0,0,0
Argentina,137794.229699832,2,14,55,50,101,11,0,0,0,0,3,4,0
Armenia,7746.000000000001,0,0,3,4,0,0,0,0,0,0,1,0,0
Australia,248298.00000519602,11,36,135,73,36,54,50,24,0,0,0,0,0
Austria,53157.20454475103,0,0,3,96,0,3,0,0,0,0,0,0,0
Azerbaijan,24548.999998399,0,0,8,5,1,0,0,0,0,0,0,0,0
Bahrain,27253.000001,0,0,6,0,1,0,0,0,0,0,0,0,0
Bangladesh,55656.60253605001,0,1,24,1,28,0,0,0,0,0,0,0,0
Belarus,34041.99999593,0,0,17,0,0,0,0,0,0,0,0,0,0
Belgium,67322.99999848599,0,1,20,19,9,12,0,2,0,0,3,0,0
Benin,183.0,0,0,1,0,1,0,0,0,0,0,0,0,0
Bolivia,8379.000000229998,0,0,9,14,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,16086.000001189997,0,4,0,16,0,0,0,0,0,0,0,0,0
Botswana,2262.9999999,0,2,0,0,0,0,0,0,0,0,0,0,0
Brazil,553535.743578431,4,18,114,648,566,202,10,428,0,0,2,1,0
Brunei Darussalam,4461.000000399999,0,0,4,0,0,0,0,0,0,0,0,0,0
Bulgaria,43665.9999989,0,9,0,7,0,1,0,0,0,0,1,0,0
Cambodia,3055.9999999199995,0,1,0,5,3,0,2,1,0,0,0,0,0
Cameroon,6850.000000100001,0,0,1,3,4,0,0,0,0,0,0,0,0
Canada,655943.9999975391,138,15,75,556,9,241,0,111,0,0,6,2,0
Chile,73427.99999945893,16,14,10,99,74,18,0,22,0,0,0,0,0
China,5168538.56723622,124,737,170,941,6,835,0,0,0,2,12,0,0
Colombia,67718.9999975,0,3,5,12,1,0,0,0,0,0,0,0,0
Congo,1740.0000000100001,0,0,2,4,2,0,0,0,0,0,0,0,0
Costa Rica,9297.99999991,0,0,0,18,3,0,0,0,0,5,0,0,0
Cote DIvoire,7708.000000069999,0,0,3,5,0,0,0,0,0,0,0,0,0
Croatia,12624.00000055,0,1,4,17,2,0,0,0,0,0,0,0,0
Cuba,18604.9999998,0,0,2,0,9,1,0,0,0,0,0,0,0
Cyprus,4033.0000003,0,0,1,0,2,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,8165.4388500000005,0,0,1,10,1,0,0,0,0,0,0,0,0
Denmark,29982.83518194,1,10,3,0,1,19,0,1,0,1,0,0,0
Dominican Republic,18541.000000900003,1,2,1,3,5,1,0,0,0,0,0,0,0
Ecuador,23583.14420198,0,0,4,9,6,0,0,0,0,0,0,0,0
Egypt,45324.000001,0,0,4,0,1,0,0,0,0,0,0,0,0
