Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,total
AUSTRIA,4524,4579,4628,4676,4758,4847,4930,5010,5076,43028
BELGIUM,5535,5620,5718,5818,5903,6040,6138,6184,6241,53197
DENMARK,2450,2545,2621,2646,2644,2664,2682,2705,2731,23688
FINLAND,2501,2580,2574,2543,2542,2581,2629,2657,2673,23280
FRANCE,36298,36661,37033,37212,37438,37744,38067,38138,38200,336791
GERMANY,49223,49742,44021,44180,44631,45262,45984,46538,47015,416596
GREECE,5516,5790,6082,6341,6462,6563,6552,6513,6467,56286
ICELAND,214,227,241,244,241,243,238,242,246,2136
IRELAND,1949,2097,2229,2276,2246,2200,2209,2192,2228,19626
ITALY,39089,39877,40368,40894,41213,41650,42067,42000,41830,368988
LUXEMBOURG,338,347,356,365,369,375,385,395,403,3333
NETHERLANDS,8163,8295,8475,8643,8716,8816,8925,8959,9207,78199
NORWAY,2523,2600,2693,2744,2790,2856,2930,3004,3066,25206
PORTUGAL,5523,5625,5727,5757,5810,5833,5873,5807,5753,51708
SPAIN,25158,26228,27174,27613,27389,27513,27596,27481,27155,243307
SWEDEN,4629,4695,4775,4803,4829,4875,4963,5018,5075,43662
SWITZERLAND,4242,4289,4357,4385,4408,4483,4587,4691,4766,40208
UNITED KINGDOM,34394,34935,35354,35538,35217,35479,35632,35761,36468,318778
BULGARIA,2909,2016,2367,2690,2842,2960,3065,3197,3321,25367
CROATIA,1549,1606,1661,1722,1715,1686,1685,1599,1602,14825
CYPRUS,477,492,532,569,589,587,591,592,587,5016
ESTONIA,585,652,608,639,631,638,663,694,725,5835
HUNGARY,3319,3401,3474,3529,3484,3453,3438,3458,3521,31077
LATVIA,866,954,1045,1073,1035,714,690,700,719,7796
LITHUANIA,1592,1743,1750,1835,1855,1839,1863,1905,1965,16347
POLAND,14820,15964,17308,19006,19520,20459,21253,22173,22850,173353
ROMANIA,3897,3788,4177,4714,4948,5028,5072,5249,5442,42315
SLOVAKIA,1510,1551,1679,1824,1888,1971,2058,2126,2198,16805
SLOVENIA,1037,1061,1104,1143,1157,1161,1166,1166,1165,10160
ALBANIA,272,302,329,351,368,386,379,363,413,3163
BELARUS,2188,2409,2563,2706,2872,3044,3192,3198,3239,25411
GEORGIA,414,466,519,598,642,687,745,803,874,5748
MACEDONIA,273,261,278,294,317,346,348,335,385,2837
RUSSIA,31212,32547,35455,38264,39303,40661,42862,45422,48132,353858
SERBIA,1625,1664,1632,1650,1809,1725,1846,1879,1920,15750
TURKEY,8427,9080,9653,10191,10611,11266,12062,12827,13651,97768
UKRAINE,6733,6862,7225,7771,7866,8128,8259,8907,9233,70984
CANADA,18910,19580,20071,20520,20792,21231,21616,21705,22334,186759
MEXICO,21550,24185,25869,28208,29692,30482,31965,33293,34870,260114
UNITED STATES OF AMERICA,237697,244643,248701,249813,248972,248232,248932,251497,252715,2231202
ARGENTINA,7005,7175,7739,8460,8955,10116,10959,11477,12457,84343
BOLIVIA,372,400,436,487,514,540,581,622,670,4622
