Argentina,"{'total_annual_generation': 78101.35257508002, 'Gas': 32, 'Hydro': 45, 'Other': 4, 'Nuclear': 2, 'Coal': 10, 'Oil': 4}"
Austria,"{'total_annual_generation': 46012.10468980703, 'Hydro': 89, 'Gas': 3, 'Wind': 1}"
Brazil,"{'total_annual_generation': 455673.94855042803, 'Hydro': 416, 'Oil': 300, 'Biomass': 251, 'Gas': 60, 'Wind': 43, 'Nuclear': 2, 'Coal': 12, 'Waste': 2, 'Other': 1}"
Canada,"{'total_annual_generation': 6697.852007000001, 'Gas': 22, 'Coal': 1, 'Oil': 4}"
China,"{'total_annual_generation': 3299327.534833052, 'Coal': 535, 'Hydro': 116, 'Gas': 15, 'Geothermal': 2, 'Oil': 1}"
France,"{'total_annual_generation': 12318.354744340002, 'Hydro': 66}"
Germany,"{'total_annual_generation': 301404.475994595, 'Waste': 55, 'Gas': 133, 'Hydro': 106, 'Oil': 20, 'Biomass': 47, 'Nuclear': 7, 'Coal': 66, 'Other': 7, 'Wind': 9}"
India,"{'total_annual_generation': 2251.4827853130005, 'Hydro': 53, 'Nuclear': 1, 'Gas': 1, 'Oil': 1}"
Iran,"{'total_annual_generation': 54151.93761031001, 'Gas': 20, 'Hydro': 9, 'Oil': 5, 'Solar': 1}"
Italy,"{'total_annual_generation': 46084.38316006, 'Gas': 27, 'Oil': 4, 'Geothermal': 33}"
Japan,"{'total_annual_generation': 67505.21066321, 'Wind': 4, 'Gas': 3, 'Waste': 1, 'Geothermal': 12, 'Coal': 7, 'Hydro': 10, 'Oil': 2}"
Portugal,"{'total_annual_generation': 33155.63928801701, 'Wind': 196, 'Hydro': 114, 'Solar': 13, 'Waste': 13, 'Biomass': 19, 'Gas': 2, 'Geothermal': 2, 'Coal': 1}"
Russia,"{'total_annual_generation': 372088.0248050999, 'Coal': 25, 'Gas': 55, 'Hydro': 5}"
South Korea,"{'total_annual_generation': 44265.389776443, 'Gas': 11, 'Coal': 3, 'Hydro': 7, 'Wind': 2}"
Switzerland,"{'total_annual_generation': 56555.033615979, 'Hydro': 145, 'Nuclear': 3}"
Thailand,"{'total_annual_generation': 74803.67033383701, 'Coal': 2, 'Gas': 16, 'Hydro': 8, 'Wind': 1}"
United States of America,"{'total_annual_generation': 4037089.6062184363, 'Gas': 926, 'Oil': 1417, 'Wind': 529, 'Hydro': 1403, 'Coal': 415, 'Waste': 501, 'Solar': 96, 'Geothermal': 52, 'Nuclear': 61, 'Cogeneration': 34, 'Biomass': 11, 'Other': 9, 'Petcoke': 8}"
Vietnam,"{'total_annual_generation': 28033.128239486, 'Hydro': 77}"
